# SentinelX Sample Network Security Log
# Format: timestamp|source_ip|dest_ip|username|port|protocol|status|action
# Generated for demonstration purposes

2024-01-15 06:30:00|10.0.0.25|192.168.1.1|charlie|80|HTTP|SUCCESS|LOGIN
2024-01-15 07:00:00|10.0.0.25|192.168.1.1|charlie|443|HTTPS|SUCCESS|ACCESS
2024-01-15 10:00:00|192.0.2.200|10.0.0.50|unknown|443|HTTPS|ALLOWED|CONNECTION
2024-01-15 10:01:00|192.0.2.200|10.0.0.50|unknown|443|HTTPS|ALLOWED|CONNECTION
2024-01-15 12:00:00|10.0.0.50|192.168.1.1|david|443|HTTPS|SUCCESS|LOGIN
2024-01-15 12:05:00|172.16.5.200|192.168.1.1|david|443|HTTPS|SUCCESS|LOGIN
2024-01-15 22:59:00|10.0.0.101|192.168.1.1|sysadmin|22|SSH|SUCCESS|LOGIN
2024-01-15 23:01:00|10.0.0.101|192.168.1.1|sysadmin|22|SSH|SUCCESS|ADMIN_ACCESS
2024-01-16 02:00:00|10.0.0.101|192.168.1.1|admin|443|HTTPS|SUCCESS|ADMIN_ACCESS
2024-01-16 05:30:00|10.0.0.101|192.168.1.1|root|22|SSH|SUCCESS|LOGIN
2024-01-16 04:20:00|89.248.165.42|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-16 04:20:01|89.248.165.42|10.0.0.80|unknown|80|HTTP|BLOCKED|CONNECTION
2024-01-16 04:20:01|89.248.165.42|10.0.0.80|unknown|443|HTTPS|BLOCKED|CONNECTION
2024-01-16 04:20:02|89.248.165.42|10.0.0.80|unknown|443|HTTPS|BLOCKED|CONNECTION
2024-01-16 04:20:02|89.248.165.42|10.0.0.80|unknown|8080|HTTP|BLOCKED|CONNECTION
2024-01-16 04:20:03|89.248.165.42|10.0.0.80|unknown|8080|HTTP|BLOCKED|CONNECTION
2024-01-16 04:20:03|89.248.165.42|10.0.0.80|unknown|3000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:04|89.248.165.42|10.0.0.80|unknown|3000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:04|89.248.165.42|10.0.0.80|unknown|5000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:05|89.248.165.42|10.0.0.80|unknown|5000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:05|89.248.165.42|10.0.0.80|unknown|6000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:06|89.248.165.42|10.0.0.80|unknown|7000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:07|89.248.165.42|10.0.0.80|unknown|8000|TCP|BLOCKED|CONNECTION
2024-01-16 04:20:08|89.248.165.42|10.0.0.80|unknown|9000|TCP|BLOCKED|CONNECTION
2024-01-16 08:00:00|10.0.0.75|192.168.1.1|eve|80|HTTP|SUCCESS|LOGIN
2024-01-16 09:00:00|10.0.0.80|192.168.1.1|frank|443|HTTPS|SUCCESS|LOGIN
2024-01-16 10:00:00|31.220.3.245|10.0.0.50|unknown|443|HTTPS|ALLOWED|CONNECTION
